Sl. No.,Patent Application No.,Status of Patent (Published / Granted),Inventor/s Name,Title of the Patent,Applicant/s Name,Patent Filed Date (DD/MM/YYYY) ,Patent Published Date / Granted Date (DD/MM/YYYY),Patent Publication Number / Patent Granted Number,Assignee/s Name (Institute Affiliation/s at time of Appication),"Here, attach Source Proof Screenshots/URL/ Website Links, etc.",,Department,Country,MAapping  with SDG,Link of SDG Document,,,,,,,,,,,,,,,,,,
32,2021105196,Granted,Balaso Nivrutti Jagdale; Shounak Rushikesh Sugave; Suresh Halhalli; Yogesh Kulkarni,FAKE NEWS SCANNER SYSTEM EMBEDDED IN SMARTWATCH ARCHITECTURE,"Dr. Vishwanath Karad MIT World Peace University; Jagdale, Balaso; Sugave, Shounak",8/10/2021,10/27/2021,2021105196,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1lm5fDrdU9k8XFWbT08o8rjUNwSP1VYUG/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Computer Engineering & Technology,Australia,"16,4,9,17,12,15",https://docs.google.com/document/d/1vry3D-r0n2MhOw5b7Az1PGgVY3o3iRF8/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
33,2021105342,Granted,"Sarode, Parchi; Pattabiraman, V and T. R, Reshmi",MULTIVARIATE QUERY RESPONSE METHOD FOR DATA AGGREGATION IN WIRELESS SENSOR NETWORK (M-QRDAG),"Dr. Vishwanath Karad MIT World Peace University; Sarode, Parchi",8/12/2021,10/20/2021,2021105342,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1kHt4sWH_AqObP1YMWTMYlJoV-M6rXA72/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Computer Engineering & Technology,Australia,"9,12,13,17,4,10,11",https://docs.google.com/document/d/1U8C3Yw8ktMPv-VPuJlAS3iR8ppMraMnQ/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
34,2021106276,Granted,"Ingavale, Aniket; Sabne, Niranjan; Bhandare, Komal; Kamble, Minal; Dengale, Rushikesh; Rathod, Mayur; More, Shubham; Gutte, Vitthal","A SYSTEM AND METHOD FOR MONITORING, COMMUNICATING, AND ALERTING POWER FAILURE AND THEFT","Dr. Vishwanath Karad MIT World Peace University; Ingavale, Aniket; Sabne, Niranjan; Bhandare, Komal; Kamble, Minal; Dengale, Rushikesh; Rathod, Mayur; More, Shubham; Gutte, Vitthal",21-08-2021,11/10/2021,2021106276,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1CGT5SKnxDVEu6pg84ed_p39gWiolC0Da/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Computer Engineering & Technology,Australia,"7,9,11,12,13,16,17",https://docs.google.com/document/d/1lFi0TVYBcDsyybPnxnNVEDkuybsF10pW/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
35,2021106261,Granted,"Dr. Lalit Kulkarni, Balaso Jagdale, Sumedha Sirsikar , Mandar Karyakarte",A SYSTEM EMPLOYING AN OPPORTUNISTIC NETWORK FOR DISSEMINATING EMERGENCY INFORMATION IN A VEHICULAR NETWORK,"Dr. Vishwanath Karad MIT World Peace University; Jagdale, Balaso; Karyakarte, Mandar; Kulkarni, Lalit; Sirsikar, Sumedha",20-08-2021,11/10/2021,2021106261,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1ohIc8WTeObx8U4S4PHo4baM49vDwRVTS/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Computer Engineering & Technology,Australia,"3,9,11,16,17",https://docs.google.com/document/d/1sgrVdm8EW-LOr9ES7PkVpSNhWYJaJQYX/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
36,2021106262,Granted,Sumedha Sirsikar ; Abhishek Chunawale ; Prasad Khandekar ; Lalit Kulkarni ; Mohit Makhija ; Balaso Jagdale,A BRAIN SIGNAL CONTROLLED INTELLIGENT WHEELCHAIR WITH AUGMENTED REALITY,"Dr. Vishwanath Karad MIT World Peace University; Chunawale, Abhishek; Jagdale, Balaso; Khandekar, Prasad; Kulkarni, Lalit; Makhija, Mohit; Sirsikar, Sumedha",20-08-2021,11/10/2021,2021106262,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1uXnLCap3Jri9TXvHbGnJ0NzFeFjALZmx/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Computer Engineering & Technology,Australia,"3,9,10,11,17",https://docs.google.com/document/d/1YBwEmZ5C1D4qCrfaQR1Wy_hi-bnoXHFf/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
37,2021106259,Granted,"Tiple, Bhavana; Atkar, Ashish; Baraskar, Samiksha; Ambolikar, Chinmay; Aswani, Nitin; Phatak, Madhura",METHOD FOR PROVIDING INFORMATION ASSOCIATED WITH PROXIMAL SURROUNDINGS TO A VISUALLY IMPAIRED INDIVIDUAL,"Dr. Vishwanath Karad MIT World Peace University; Ambolikar, Chinmay; Aswani, Nitin; Atkar, Ashish; Baraskar, Samiksha; Phatak, Madhura; Tiple, Bhavana",20-08-2021,11/17/2021,2021106259,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1XlfDpDuVaWjk7gY1MVSQupHZreRGufIa/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Computer Engineering & Technology,Australia,"3,4,10,11,17",https://docs.google.com/document/d/1wSIaAc_ETYArr2p8sqQ7RMcaAWbfqZdL/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
38,2020104298,Granted,"DAMODAR ANUSE, ALWIN; SANDIP KUTE, RUPALI; VIJAYKUMAR CHITRE, ABHIJIT; PURUSHOTTAM
PURNAYE, PRASAD; SUBHANRAO BHADADE, RAGHUNATH; DINESH BHAT, PRANAV and VAIBHAV
MUNOT, MOUSAMI",CENSORING ONLINE SOCIAL MEDIA PLATFORM CONTENT THROUGH ARTIFICIAL INTELLIGENCE BASED FRAMEWORK,"DAMODAR ANUSE, ALWIN; SANDIP KUTE, RUPALI; VIJAYKUMAR CHITRE, ABHIJIT; PURUSHOTTAM
PURNAYE, PRASAD; SUBHANRAO BHADADE, RAGHUNATH; DINESH BHAT, PRANAV and VAIBHAV
MUNOT, MOUSAMI",12/23/2020,3/3/2021,2020104298,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1e_Hcw4f6Rh78NuZreCpz8z0SdbUhylwh/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Computer Engineering & Technology,Australia,"16,9,10,4,17",https://docs.google.com/document/d/1888nwqO1gY5Zz4k5oMwRl3if87B5A5ZO/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
39,2021106657,Granted,Dr. Pradnya S. Kulkarni,Pixel N-gram Image Representation System for Mammographic Image Classification,Dr. Pradnya S. Kulkarni,8/23/2021,11/17/2021,2021106657,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1X7xU9vaOxq82aGvXHSUmeOp25xidApyM/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Computer Engineering & Technology,Australia,"3,9,10,12,17",https://docs.google.com/document/d/17raXFA9SR3r96qY2sut01Z2ps9ptNuRL/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
40,2021105861,Granted,"Sukhada Bhingarkar, Deven Shah
",Method For Detecting Edos Attack In Virtual Server And Serverless Model Of Cloud Computing,"Sukhada Bhingarkar, Deven Shah
",8/18/2021,11/17/2021,2021105861,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1DQuaV7hGQbpVAmbutpDSV5bU-6E6ubfw/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Computer Engineering & Technology,Australia,"9,12,16,17",https://docs.google.com/document/d/1c_YQE5cpQZ9V0-Bm5pHZtrin3byc_nkT/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
41,2021104405,Granted,Dr.Anita Nene; Nabharun Bhattcharya ; Garv Sethi ; Vinit Oswal,CONDUCTING LIQUID VORTEX DC MOTOR,Dr. Vishwanath Karad MIT World Peace University,21-07-2021,8/11/2021,2021104405,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1vBm45On6Ptrm7UKr0g5hyzrMeuSd3gJC/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Mechanical Engineering,Australia,"7,9,12,13,17",https://docs.google.com/document/d/1na1E02nY9q931D7F29LQ4_4T_izoFiTs/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
42,2021105191,Granted,"Ganesh Kakandikar , Anil Mashalakar , Omkar Kulkarni",A MICRO-FORMING DEVICE,"Dr. Vishwanath Karad MIT World Peace University; Kakandikar, Ganesh; Kulkarni, Omkar; Mashalkar, Anil",8/10/2021,11/3/2021,2021105191,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1HSpa_bP7vuDRpBwcxd4Yl7KCqkoCRREX/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Mechanical Engineering,Australia,"9,12,13,17",https://docs.google.com/document/d/1cnAbOmHG_BnY0Hz233uZ7iupVh5Ii5EE/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
43,2021105195,Granted,Amit Jomde; Vivekanand A Naikwadi ; Tamkhade Pradip Krishna ; Prashant Patane ;Sandeep Sadashiv Kore; Tadakhe Rajendra Popat ; Pratik Arun Patil,A VARIABLE FLOW RADIATOR FOR A VEHICLE,"Dr. Vishwanath Karad MIT World Peace University; Jomde, Amit; Kore, Sandeep; Krishna, Tamkhade; Naikwadi, Vivekanand; Patane, Prashant; Patil, Pratik; Popat, Tadakhe",8/10/2021,10/27/2021,2021105195,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1t0yzaZYTgAsOv1eTvBiX8GTmmmzROJiy/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Mechanical Engineering,Australia,"7,9,11,12,13",https://docs.google.com/document/d/1JsA-Kp4JOmOqBZ-bZEkarhd5dQI3TmK0/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
44,2021106269,Granted,"Ganesh Kakandikar , Anil Mashalakar , Omkar Kulkarni, Abhishek Jadhav",FLEXIBLE DEEP DRAWING ARRANGEMENT,"Dr. Vishwanath Karad MIT World Peace University; Jadhav, Abhishek; Kakandikar, Ganesh; Kulkarni, Omkar; Mashalkar, Anil",21-08-2021,11/10/2021,2021106269,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1aUIACa19WjG5IfhFpCm74ZW-xbH8J5p9/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Mechanical Engineering,Australia,"9,12,13,8,11,4",https://docs.google.com/document/d/1MaA42xGDa5uF3CsNLaCAvoUrWEbEwLiT/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
45,2021107065,Granted,"Chaudhari, Bharat S.; Kukade, Shweta; Patil, Rajendrakumar A.; Sutaone, Mukul S.",OPTIMAL RESOURCE ALLOCATION IN NEXT-GENERATION HETEROGENEOUS MOBILE NETWORK,"Dr.Vishwanath Karad MIT-World Peace University; Chaudhari, Bharat S.;  Kukade, Shweta; Patil, Rajendrakumar A.; Sutaone, Mukul S.",8/24/2021,11/24/2021,2021107065,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1kL6MQys3W3tBsKqxcon3rbcqUNvnkICN/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Electrical and Electronics Engineering,Australia,"9,12,13,8,11,4,17",https://docs.google.com/document/d/1Hn-3hIvs4wxLLhPKnQK0H9OgLlCz0Vqf/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
46,202021051007,Published,"Ganesh Kakandikar, Anil Mashalkar, Omkar Kulkarni
",A MICRO-FORMING DEVICE,"Ganesh Kakandikar, Anil Mashalkar, Omkar Kulkarni
",11/24/2020,1/29/2021,05/2021,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1doQCBBro0xiA_jNwa8_KOGLCrU2zRdqS/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"9,12,8,13,4",https://docs.google.com/document/d/1kHmqnXWAGBkZO-eIeO8ziX-H0O8lyKKd/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
47,202121031924,Published,"Deepak Popat Hujare, Paresh Sunil Patel, Girish Barpande, Pravin Hujare",INBUILT TWO TIER JACK ASSEMBLY FOR VEHICLE,"Dr. Vishwanath Karad MIT World Peace University, Deepak Popat Hujare, Paresh Sunil Patel",7/15/2021,8/27/2021,35/2021,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1DqEa165a9YCHl460-M3Gra-Pi8ACNVdI/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"9,7,8,11,12,3",https://docs.google.com/document/d/15RQpl4NPt6gkI3lwgO2-AkRmVJyiuKv6/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
48,202121008267,Published,"Jadhav, Nathrao; Chaudhari, Bharat",OPTIMIZED FIVE PORT NON-BLOCKING OPTICAL ROUTER FOR TWO DIMENSIONAL MULTICORE PROCESSORS,Dr. Vishwanath Karad MIT World Peace University,2/26/2021,4/23/2021,17/2021,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1EqKgPQ6mvJyd2GTdEJyLQE4jKkvrJn8b/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Electrical and Electronics Engineering,India,"9,7,11,12,13,4",https://docs.google.com/document/d/1oFjMoc0vm_4fO9HIcYr03khv1bbhEYYN/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
49,202121032629,Published,"Nitinkumar Raghunath Anekar, Amit Chandrakant Nemade, Kushal Khandelwal",TEST RIG FOR MEASURING TRANSMISSIBILITY RATIO OF SHOCK ABSORBER,"Dr. Vishwanath Karad MIT World Peace University,Nitinkumar Raghunath Anekar",7/20/2021,8/27/2021,35/2021,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1qWWtry7H4tRmhXs1Lm9fCI0V5IVUcWbF/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"9,8,12,11,13,3",https://docs.google.com/document/d/17pyeUP2PTkFmnvmcPk9_VdVmTV1on_si/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
50,202121039973,Published,"Siddhant Verma, Suraj Shinde, Shubham Bhongade, Yogesh Mane",SYSTEM FOR ADJUSTING THE RAKE ANGLE OF A BICYCLE,"Dr. Vishwanath Karad MIT World Peace University, Siddhant Verma, Suraj Shinde, Shubham Bhongade, Yogesh Mane",9/3/2021,9/10/2021,37/2021,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1MOlEwngg4k5hCKz_8ekgGVH6Lfsq4G2z/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"9,11,12,13,3,7",https://docs.google.com/document/d/1uT6QxAkk5HPPlx4MJeyuAwDYTYSHPNHm/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
51,202021022772,Published,"Atharv Barve, Sharmishta Desai, Vishwa Singh, Arnav Pande, Shubh Shrey, Devesh Bhogre, Ashish Atkar",DISINFECTING AND ALERTING DEVICE,"Atharv Barve, Sharmishta Desai, Vishwa Singh, Arnav Pande, Shubh Shrey, Devesh Bhogre, Ashish Atkar",30-05-2020,12/3/2021,49/2021,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1YcuETIVxLy46JPjAMbIvHhemDRhwOPqH/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Computer Engineering & Technology,India,"3,9,11,12,6,13",https://docs.google.com/document/d/1lBnHVi7jhuXSk_3DzPG4dZjF90-p5_Oq/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
52,202021014235,Published,"Subhal Dixit, Rashmi Phalnikar",Method for providing Comprehensive Nutritional care for critically ill patients,"Rashmi Phalnikar, Subhal Dixit",3/31/2020,11/26/2021,48/2021,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/17IRjnbtn-0oj0jkTcoxbL--KRlkLKeW0/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Computer Engineering & Technology,India,"3,2,9,10,12,17",https://docs.google.com/document/d/11XKCReISa4Xa1W61CXIAEJOKhELh0yp5/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
53,202121021526,Published,"Kothavale, Basavraj; Kolhe, Shaunak; Khose, Ashna",FIBRE LAYUP APPARATUS FOR OBTAINING PRECISE PLY-ANGLES,Dr Vishwanath Karad MIT World Peace University,5/12/2021,6/25/2021,26/2021,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1V9kEk5NiIJBzQxrEAPuxfrP_rtCQoHes/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"9,12,8,13,11,4",https://docs.google.com/document/d/1d_XqfNysmInuQExjf_JVGs4i1cW7e88-/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
54,202121023253,Published,"Mahesh Vasantrao Kulkarni, Ravindra Bhimrao Ingle",DOUBLE EXPANSION CHAMBER REACTIVE MUFFLER,Dr Vishwanath Karad MIT-World Peace University,5/25/2021,6/25/2021,26/2021,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1sLW1Met1rqfrgRWkcingsOj3Q4babaPF/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"7,9,13,11,12,3",https://docs.google.com/document/d/1f72qf3V6dqZkhLaLsyKbxHfDe4xuIkh6/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
55,202121023255,Published,"Dr. Anita Nene, Garv Sethi, Nabharun Niloy Bhattacharya, Vinit Ritesh Oswal",CONDUCTING LIQUID VORTEX DC MOTOR,Dr. Vishwanath Karad MIT World Peace University,5/25/2021,7/2/2021,27/2021,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1zjX5Togugrha70GWr9BRQ4rYsAehT8L6/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"7,9,13,12,11,8,14",https://docs.google.com/document/d/1bi3T8p7v81wIxDIfzYWt_P8YzH6OUx3d/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
56,202121034883,Published,"Pruthviraj Patil, Ashwajeet Pawar, Riya Huddar, Slawyn Mascarenhas, Viraj Jiwane, Vignesh Shenoy, Sanket Shinde, Snehal Kolekar",SYSTEM FOR INLINE WAX DEPOSITION INSPECTION OF PIPELINE AND METHOD THEREOF,Dr. Vishwanath Karad MIT-World Peace University,8/3/2021,8/20/2021,34/2021,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1_GauRpG68fHiUWMJFKYZAltcNy1V2n9v/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Petroleum Engineering,India,"7,9,13,12,6,8,11",https://docs.google.com/document/d/1ev01DJlS9royt-tiHrtOrQGSehCqxVLM/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
57,202121045494,Published,"Minal Deshmukh, Anant Marathe","A Process
For
Preparatio
n Of Bio
Ethanol,
Biogas
And
Manure
From De
Oiled Non
Edible
Cake","Minal Deshmukh, Anant Marathe",10/6/2021,11/12/2021,46/2021,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1dZ5fcMSIRV6HA3YR2sCr_zLgr0UrkbDS/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Petroleum Engineering,India,"7,9,13,12,6,8,11",https://docs.google.com/document/d/1ev01DJlS9royt-tiHrtOrQGSehCqxVLM/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
58,202121011461,Published,"AMOLKUMAR N. JADHAV, DEEPAK SUDHAKAR DHARRAO,  PRASAD VIJAYKUMAR PHALLE, VITTHAL S. GUTTE, MUKUND B. WAGH, NANDKISHOR P. KARLEKAR",AN EFFICIENT CONTENT BASED REMOTE SENSING IMAGE RETRIEVAL USING ARTIFICIAL NEURAL NETWORK,"AMOLKUMAR N. JADHAV, DEEPAK SUDHAKAR DHARRAO,  PRASAD VIJAYKUMAR PHALLE, VITTHAL S. GUTTE, MUKUND B. WAGH, NANDKISHOR P. KARLEKAR",3/18/2021,4/2/2021,14/2021,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1_jFqDAtNTvnEUQSri1zpq4qPI_FTNs1E/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Computer Engineering & Technology,India,"7,9,12,13,15,11,3,2",https://docs.google.com/document/d/1OOKUjyjgDEAzsMNRw93NLHVsIJLLV45T/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
59,202121005000,Published,"DR. DEEPAK SUDHAKAR DHARRAO, AMOLKUMAR N.JADAV, NAVANATH PANDURANG JADHAV, SHAILESH GAWAI, MADHURI NAVANATH JADHAV, HANMANT DNYANDEO MAGAR",UNDERWATER IMAGE ENHANCEMENT VIA COLOR BALANCE AND STATIONERY WAVELET BASED FUSION,"DR. DEEPAK SUDHAKAR DHARRAO, AMOLKUMAR N.JADAV, NAVANATH PANDURANG JADHAV, SHAILESH GAWAI, MADHURI NAVANATH JADHAV, HANMANT DNYANDEO MAGAR",2/5/2021,2/12/2021,07/2021,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1r-5axG902cQTr3sLTMWrg20QaOZE1BDE/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Computer Engineering & Technology,India,"7,9,12,14,13,6,8,11",https://docs.google.com/document/d/1qMLJTqBHGBgy0GGoyyt68AdRldf8SXwM/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
60,202121001047,Published,"Dr. Balaso Nivrutti Jagdale, Dr. Shounak Rushikesh Sugave, Dr Suresh Renukadas Halhalli, Dr. Yogesh Raghunath kulkarni",Fake News Scanner System Embedded In Smartwatch Architecture,"Dr. Balaso Nivrutti Jagdale, Dr. Shounak Rushikesh Sugave",1/9/2021,2/12/2021,07/2021,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/10kCmLLYgzvtJYta_FH7JkwVemz9p0Z9t/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Computer Engineering & Technology,India,"4,8,3,10,12,16,9,12",https://docs.google.com/document/d/1eHoBVCEL1Sb09C2TSK8CSTFcrWTVxyZp/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
61,202121010006,Published,"Vignesh Charan Raman, Kaushiv Agarwal, Poojan Panchal, Trupti N.Baraskar, Sajeeda Riyaj Shikaslkar
",Intelligent Surveillance System For Identifying Social Distancing And Face Masks In Public Places,"Dr. Vishwanath Karad MIT World Peace University, Vignesh Charan Raman, Kaushiv Agarwal, Poojan Panchal, Trupti N.Baraskar, Sajeeda Riyaj Shikaslkar
",3/10/2021,8/6/2021,32/2021,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1uNUNF44CwoMVUS9z_7Ouso8rJkclLdCC/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Computer Engineering & Technology,India,"3,9,10,8,11,12,16,13",https://docs.google.com/document/d/18Pf1tRnwG53arOQbU2RcJjXBGFMzCbun/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
62,202141044813,Published,"Dr. Udayabalan Balasingam, Dr.Nanda Ashwin, Vaishali Shende, Rajlakshmi Ghatkamble, Suresh P, Seema Patil, Deepak Sakkari, Sonu Kumar, Shubham parsoya, Ajay Nair, Makhan kumbhkar
",ML And Big Data Basedcloud Computing Construction Assessment System For Android Applications,"Dr. Udayabalan Balasingam, Dr.Nanda Ashwin, Vaishali Shende, Rajlakshmi Ghatkamble, Suresh P, Seema Patil, Deepak Sakkari, Sonu Kumar, Shubham parsoya, Ajay Nair, Makhan kumbhkar
",10/3/2021,10/15/2021,42/2021,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/16MWeWhHFbfjzrf2mnSgDfFin9w60Vjwm/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Computer Engineering & Technology,India,"3,9,10,8,11,12,16,13",https://docs.google.com/document/d/1U0wIqc0EwXBsBV2Q64JXd7b7rA_vTEzV/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
